id,event_title,date,ride_time,distance_km,vertical_m,longitude,latitude,yes_rsvp_count,event_url,href,href_short,route_href,photo_href
233862115,Mt Macedon back & front,2016-09-24,08:15,83,1580,144.59935,-37.459595,12,https://www.meetup.com/melbournecycling/events/233862115/,"<a href='https://www.meetup.com/melbournecycling/events/233862115/'>Mt Macedon back & front (83km, +1580vm)</a>",<a href='https://www.meetup.com/melbournecycling/events/233862115/'>Mt Macedon back & front</a>,<a href='https://ridewithgps.com/routes/15350921'>https://ridewithgps.com/routes/15350921</a>,"<img src=""http://photos4.meetupstatic.com/photos/event/c/c/f/4/600_453772468.jpeg"" />"
233582934,Coldstream - Gembrook - Toolangi,2016-09-17,08:00,144,2370,145.378616,-37.724697,15,https://www.meetup.com/melbournecycling/events/233582934/,"<a href='https://www.meetup.com/melbournecycling/events/233582934/'>Coldstream - Gembrook - Toolangi (144km, +2370vm)</a>",<a href='https://www.meetup.com/melbournecycling/events/233582934/'>Coldstream - Gembrook - Toolangi</a>,<a href='https://ridewithgps.com/routes/15204454'>https://ridewithgps.com/routes/15204454</a>,"<img src=""http://photos4.meetupstatic.com/photos/event/4/4/8/c/600_453437548.jpeg"" />"
233502204,Hurstbridge - Healesville - Kinglake Loop,2016-09-10,07:30,110,1787,145.194107,-37.637703,11,https://www.meetup.com/melbournecycling/events/233502204/,"<a href='https://www.meetup.com/melbournecycling/events/233502204/'>Hurstbridge - Healesville - Kinglake Loop (110km, +1787vm)</a>",<a href='https://www.meetup.com/melbournecycling/events/233502204/'>Hurstbridge - Healesville - Kinglake Loop</a>,<a href='https://ridewithgps.com/routes/15991242'>https://ridewithgps.com/routes/15991242</a>,"<img src=""http://photos4.meetupstatic.com/photos/event/1/5/0/0/600_453305376.jpeg"" />"
233180449,Kyneton - Mt Alexander Loop,2016-09-03,08:30,138,1780,144.453506,-37.247665,11,https://www.meetup.com/melbournecycling/events/233180449/,"<a href='https://www.meetup.com/melbournecycling/events/233180449/'>Kyneton - Mt Alexander Loop (138km, +1780vm)</a>",<a href='https://www.meetup.com/melbournecycling/events/233180449/'>Kyneton - Mt Alexander Loop</a>,<a href='https://ridewithgps.com/routes/15086906'>https://ridewithgps.com/routes/15086906</a>,"<img src=""http://photos4.meetupstatic.com/photos/event/e/7/6/0/600_452879232.jpeg"" />"
233003399,Highlands Loop: Broadford - Yea,2016-08-20,08:15,139,1670,145.042923,-37.207268,9,https://www.meetup.com/melbournecycling/events/233003399/,"<a href='https://www.meetup.com/melbournecycling/events/233003399/'>Highlands Loop: Broadford - Yea (139km, +1670vm)</a>",<a href='https://www.meetup.com/melbournecycling/events/233003399/'>Highlands Loop: Broadford - Yea</a>,<a href='https://ridewithgps.com/routes/15270601'>https://ridewithgps.com/routes/15270601</a>,"<img src=""https://a248.e.akamai.net/secure.meetupstatic.com/photos/event/3/9/9/600_452640921.jpeg"" />"
232862582,"""Hell of the West"" and more",2016-08-13,08:00,110,1077,144.437958,-37.687359,12,https://www.meetup.com/melbournecycling/events/232862582/,"<a href='https://www.meetup.com/melbournecycling/events/232862582/'>""Hell of the West"" and more (110km, +1077vm)</a>","<a href='https://www.meetup.com/melbournecycling/events/232862582/'>""Hell of the West"" and more</a>",<a href='https://ridewithgps.com/routes/15205098'>https://ridewithgps.com/routes/15205098</a>,"<img src=""http://photos4.meetupstatic.com/photos/event/6/a/8/7/600_452487271.jpeg"" />"
232677923,Dandenongs & beyond,2016-07-30,07:45,103,1930,145.316101,-37.856037,16,https://www.meetup.com/melbournecycling/events/232677923/,"<a href='https://www.meetup.com/melbournecycling/events/232677923/'>Dandenongs & beyond (103km, +1930vm)</a>",<a href='https://www.meetup.com/melbournecycling/events/232677923/'>Dandenongs & beyond</a>,<a href='https://ridewithgps.com/routes/15108888'>https://ridewithgps.com/routes/15108888</a>,"<img src=""http://photos3.meetupstatic.com/photos/event/d/6/9/d/600_452214941.jpeg"" />"
232441498,Fast Beach Road & Mt Eliza Loop,2016-07-23,08:00,100,560,144.975998,-37.869354,10,https://www.meetup.com/melbournecycling/events/232441498/,"<a href='https://www.meetup.com/melbournecycling/events/232441498/'>Fast Beach Road & Mt Eliza Loop (~100km, +560vm)</a>",<a href='https://www.meetup.com/melbournecycling/events/232441498/'>Fast Beach Road & Mt Eliza Loop</a>,<a href='https://ridewithgps.com/routes/13444017'>https://ridewithgps.com/routes/13444017</a>,"<img src=""http://photos1.meetupstatic.com/photos/event/c/f/2/c/600_449513036.jpeg"" />"
232105253,Col de Kinglake Loop,2016-07-09,08:30,124,1800,145.061783,-37.757721,15,https://www.meetup.com/melbournecycling/events/232105253/,"<a href='https://www.meetup.com/melbournecycling/events/232105253/'>Col de Kinglake Loop (124km, +1800vm)</a>",<a href='https://www.meetup.com/melbournecycling/events/232105253/'>Col de Kinglake Loop</a>,<a href='https://ridewithgps.com/routes/14618670'>https://ridewithgps.com/routes/14618670</a>,"<img src=""http://photos1.meetupstatic.com/photos/event/6/3/e/3/600_451405571.jpeg"" />"
231996858,Dandenongs Noodly Crucifix,2016-07-02,08:00,75,1800,145.316101,-37.856037,11,https://www.meetup.com/melbournecycling/events/231996858/,"<a href='https://www.meetup.com/melbournecycling/events/231996858/'>Dandenongs Noodly Crucifix (75km, +1800vm)</a>",<a href='https://www.meetup.com/melbournecycling/events/231996858/'>Dandenongs Noodly Crucifix</a>,NA,"<img src=""http://photos1.meetupstatic.com/photos/event/7/2/5/d/600_451229277.jpeg"" />"
230777925,Fast Beach Road & Mt Eliza Loop,2016-06-18,08:00,100,560,144.97609,-37.869236,11,https://www.meetup.com/melbournecycling/events/230777925/,"<a href='https://www.meetup.com/melbournecycling/events/230777925/'>Fast Beach Road & Mt Eliza Loop (~100km, +560vm)</a>",<a href='https://www.meetup.com/melbournecycling/events/230777925/'>Fast Beach Road & Mt Eliza Loop</a>,<a href='https://ridewithgps.com/routes/13444017'>https://ridewithgps.com/routes/13444017</a>,"<img src=""http://photos1.meetupstatic.com/photos/event/c/f/2/c/600_449513036.jpeg"" />"
